
1,Central America and the Caribbean,Antigua and Barbuda,Baby Food,Online,M,957081544,552.0,255.28,159.42,140914.56,87999.84,52914.72
2,Central America and the Caribbean,Panama,Snacks,Offline,C,301644504,2167.0,152.58,97.44,330640.86,211152.48,119488.38
3,Europe,Czech Republic,Beverages,Offline,C,478051030,4778.0,47.45,31.79,226716.1,151892.62,74823.48
4,Asia,North Korea,Cereal,Offline,L,892599952,9016.0,205.7,117.11,1854591.2,1055863.76,798727.44
5,Asia,Sri Lanka,Snacks,Offline,C,571902596,7542.0,152.58,97.44,1150758.36,734892.48,415865.88
6,Middle East and North Africa,Morocco,Personal Care,Offline,L,412882792,48.0,81.73,56.67,3923.04,2720.16,1202.88
7,Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,932776868,8258.0,109.28,35.84,902434.24,295966.72,606467.52
8,Europe,Bosnia and Herzegovina,Clothes,Online,M,919133651,927.0,109.28,35.84,101302.56,33223.68,68078.88
9,Middle East and North Africa,Afghanistan,Clothes,Offline,M,579814469,8841.0,109.28,35.84,966144.48,316861.44,649283.04
10,Sub-Saharan Africa,Ethiopia,Baby Food,Online,M,192993152,9817.0,255.28,159.42,2506083.76,1565026.14,941057.62
11,Middle East and North Africa,Turkey,Office Supplies,Offline,C,557156026,3704.0,651.21,524.96,2412081.84,1944451.84,467630.0
12,Middle East and North Africa,Oman,Cosmetics,Online,M,741101920,7382.0,437.2,263.33,3227410.4,1943902.06,1283508.34
13,Asia,Malaysia,Cereal,Offline,L,333942162,9762.0,205.7,117.11,2008043.4,1143227.82,864815.58
14,Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,795100581,6786.0,437.2,263.33,2966839.2,1786957.38,1179881.82
15,Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,504313504,6428.0,255.28,159.42,1640939.84,1024751.76,616188.08
16,Middle East and North Africa,Lebanon,Meat,Offline,H,611629760,3693.0,421.89,364.69,1558039.77,1346800.17,211239.6
17,Europe,Austria,Cereal,Offline,C,987410676,5616.0,205.7,117.11,1155211.2,657689.76,497521.44
18,Europe,Bulgaria,Office Supplies,Online,L,672330081,6266.0,651.21,524.96,4080481.86,3289399.36,791082.5
19,North America,Mexico,Beverages,Online,C,127374303,1742.0,47.45,31.79,82657.9,55378.18,27279.72
20,Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,783842170,5172.0,255.28,159.42,1320308.16,824520.24,495787.92
21,Middle East and North Africa,Libya,Beverages,Offline,L,993345010,1718.0,47.45,31.79,81519.1,54615.22,26903.88
22,Middle East and North Africa,Algeria,Baby Food,Offline,M,977806651,3572.0,255.28,159.42,911860.16,569448.24,342411.92
23,Europe,Estonia,Fruits,Online,L,579463422,4958.0,9.33,6.92,46258.14,34309.36,11948.78
24,Australia and Oceania,Tuvalu,Beverages,Offline,L,610864150,7132.0,47.45,31.79,338413.4,226726.28,111687.12
25,Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,604870164,3378.0,152.58,97.44,515415.24,329152.32,186262.92
26,Central America and the Caribbean,Cuba,Cereal,Online,H,164655292,4015.0,205.7,117.11,825885.5,470196.65,355688.85
27,Europe,Montenegro,Fruits,Offline,L,313705861,1390.0,9.33,6.92,12968.7,9618.8,3349.9
28,Central America and the Caribbean,Guatemala,Office Supplies,Online,M,345820701,4885.0,651.21,524.96,3181160.85,2564429.6,616731.25
29,Sub-Saharan Africa,Guinea,Baby Food,Online,M,975111138,5910.0,255.28,159.42,1508704.8,942172.2,566532.6
30,Australia and Oceania,Vanuatu,Snacks,Online,C,286001002,2907.0,152.58,97.44,443550.06,283258.08,160291.98
31,Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,483226621,6350.0,437.2,263.33,2776220.0,1672145.5,1104074.5
32,Australia and Oceania,Australia,Clothes,Offline,M,241836822,3744.0,109.28,35.84,409144.32,134184.96,274959.36
33,Middle East and North Africa,Oman,Clothes,Online,H,557192933,4626.0,109.28,35.84,505529.28,165795.84,339733.44
34,Sub-Saharan Africa,Malawi,Meat,Online,L,694968783,5562.0,421.89,364.69,2346552.18,2028405.78,318146.4
35,Middle East and North Africa,Lebanon,Fruits,Online,H,441150701,5150.0,9.33,6.92,48049.5,35638.0,12411.5
36,Europe,Czech Republic,Cereal,Online,M,552037513,9022.0,205.7,117.11,1855825.4,1056566.42,799258.98
37,Australia and Oceania,Vanuatu,Cosmetics,Offline,C,504240548,4838.0,437.2,263.33,2115173.6,1273990.54,841183.06
38,Europe,Luxembourg,Vegetables,Offline,L,744683635,7291.0,154.06,90.93,1123251.46,662970.63,460280.83
39,Sub-Saharan Africa,Benin,Personal Care,Online,L,440603101,3104.0,81.73,56.67,253689.92,175903.68,77786.24
40,Middle East and North Africa,Somalia,Clothes,Offline,L,629547774,6031.0,109.28,35.84,659067.68,216151.04,442916.64
41,Europe,Switzerland,Meat,Online,L,169378983,1860.0,421.89,364.69,784715.4,678323.4,106392.0
42,Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,688270556,3407.0,81.73,56.67,278454.11,193074.69,85379.42
43,Asia,Laos,Meat,Online,L,734708821,5522.0,421.89,364.69,2329676.58,2013818.18,315858.4
44,Asia,Kyrgyzstan,Snacks,Online,C,727492606,84.0,152.58,97.44,12816.72,8184.96,4631.76
45,Middle East and North Africa,Algeria,Baby Food,Offline,M,705733239,1003.0,255.28,159.42,256045.84,159898.26,96147.58
46,Sub-Saharan Africa,Angola,Office Supplies,Offline,C,778854548,9224.0,651.21,524.96,6006761.04,4842231.04,1164530.0
47,Sub-Saharan Africa,Mauritania,Cosmetics,Offline,M,676592862,7718.0,437.2,263.33,3374309.6,2032380.94,1341928.66
48,Middle East and North Africa,Lebanon,Household,Offline,M,198997008,6492.0,668.27,502.54,4338408.84,3262489.68,1075919.16
49,Europe,Finland,Beverages,Online,H,566428315,7581.0,47.45,31.79,359718.45,240999.99,118718.46
50,Asia,Taiwan,Baby Food,Online,M,369560611,52.0,255.28,159.42,13274.56,8289.84,4984.72
51,Europe,Belgium,Snacks,Online,M,519380223,5005.0,152.58,97.44,763662.9,487687.2,275975.7
52,Asia,Laos,Office Supplies,Online,H,197185981,568.0,651.21,524.96,369887.28,298177.28,71710.0
53,Europe,San Marino,Office Supplies,Online,H,904589211,6905.0,651.21,524.96,4496605.05,3624848.8,871756.25
54,Australia and Oceania,Tuvalu,Household,Offline,H,613513743,1205.0,668.27,502.54,805265.35,605560.7,199704.65
55,Australia and Oceania,Kiribati,Clothes,Offline,M,516195905,2694.0,109.28,35.84,294400.32,96552.96,197847.36
56,Asia,Kyrgyzstan,Vegetables,Offline,H,975184524,7626.0,154.06,90.93,1174861.56,693432.18,481429.38
57,Australia and Oceania,Samoa,Clothes,Online,M,173340928,4287.0,109.28,35.84,468483.36,153646.08,314837.28
58,Sub-Saharan Africa,Central African Republic,Personal Care,Offline,H,863838946,7995.0,81.73,56.67,653431.35,453076.65,200354.7
59,Asia,Uzbekistan,Cereal,Offline,L,920164906,6099.0,205.7,117.11,1254564.3,714253.89,540310.41
60,Central America and the Caribbean,Dominica,Meat,Online,M,986117637,2977.0,421.89,364.69,1255966.53,1085682.13,170284.4
61,Middle East and North Africa,Qatar,Cereal,Online,L,425808465,5042.0,205.7,117.11,1037139.4,590468.62,446670.78
62,Central America and the Caribbean,Saint Lucia,Beverages,Online,L,473661220,5736.0,47.45,31.79,272173.2,182347.44,89825.76
63,Europe,Bosnia and Herzegovina,Baby Food,Online,C,184412229,531.0,255.28,159.42,135553.68,84652.02,50901.66
64,Asia,South Korea,Vegetables,Offline,H,483110320,1934.0,154.06,90.93,297952.04,175858.62,122093.42
65,Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,115116822,4481.0,668.27,502.54,2994517.87,2251881.74,742636.13
66,Middle East and North Africa,Somalia,Baby Food,Online,M,596105563,9738.0,255.28,159.42,2485916.64,1552431.96,933484.68
67,Sub-Saharan Africa,Nigeria,Snacks,Online,C,362062871,1304.0,152.58,97.44,198964.32,127061.76,71902.56
68,Sub-Saharan Africa,South Africa,Beverages,Online,H,619287574,9810.0,47.45,31.79,465484.5,311859.9,153624.6
69,Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,394391000,7916.0,109.28,35.84,865060.48,283709.44,581351.04
70,Sub-Saharan Africa,Sudan,Beverages,Online,M,584296977,5315.0,47.45,31.79,252196.75,168963.85,83232.9
71,Middle East and North Africa,Algeria,Clothes,Offline,M,806241834,3730.0,109.28,35.84,407614.4,133683.2,273931.2
72,Europe,Netherlands,Meat,Offline,M,747774398,1916.0,421.89,364.69,808341.24,698746.04,109595.2
73,Central America and the Caribbean,Panama,Meat,Online,H,616755998,660.0,421.89,364.69,278447.4,240695.4,37752.0
74,Australia and Oceania,Solomon Islands,Baby Food,Offline,C,691360461,7779.0,255.28,159.42,1985823.12,1240128.18,745694.94
75,Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,C,870074117,3121.0,47.45,31.79,148091.45,99216.59,48874.86
76,Middle East and North Africa,Iran,Office Supplies,Online,H,221695792,3566.0,651.21,524.96,2322214.86,1872007.36,450207.5
77,Australia and Oceania,Vanuatu,Fruits,Online,M,135336816,8026.0,9.33,6.92,74882.58,55539.92,19342.66
78,Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,L,270421016,2443.0,651.21,524.96,1590906.03,1282477.28,308428.75
79,Sub-Saharan Africa,Equatorial Guinea,Household,Online,H,806684720,4790.0,668.27,502.54,3201013.3,2407166.6,793846.7
80,Europe,Russia,Household,Online,M,194176757,72.0,668.27,502.54,48115.44,36182.88,11932.56
81,Middle East and North Africa,Azerbaijan,Baby Food,Offline,H,103258454,5326.0,255.28,159.42,1359621.28,849070.92,510550.36
82,Middle East and North Africa,Iraq,Office Supplies,Online,H,474603641,4619.0,651.21,524.96,3007938.99,2424790.24,583148.75
83,Sub-Saharan Africa,Mauritius,Cereal,Online,H,869198644,4049.0,205.7,117.11,832879.3,474178.39,358700.91
84,Sub-Saharan Africa,Eritrea,Household,Online,H,918342292,6747.0,668.27,502.54,4508817.69,3390637.38,1118180.31
85,Europe,Ukraine,Cosmetics,Online,H,773645913,7873.0,437.2,263.33,3442075.6,2073197.09,1368878.51
86,Asia,Myanmar,Cosmetics,Online,C,657033336,9620.0,437.2,263.33,4205864.0,2533234.6,1672629.4
87,Europe,Bosnia and Herzegovina,Meat,Online,H,410740888,6211.0,421.89,364.69,2620358.79,2265089.59,355269.2
88,Europe,Latvia,Meat,Offline,M,847317397,8902.0,421.89,364.69,3755664.78,3246470.38,509194.4
89,Europe,Serbia,Beverages,Online,L,599624192,978.0,47.45,31.79,46406.1,31090.62,15315.48
90,Asia,Mongolia,Beverages,Offline,H,170835101,2758.0,47.45,31.79,130867.1,87676.82,43190.28
91,Central America and the Caribbean,Grenada,Cereal,Online,H,584436452,6588.0,205.7,117.11,1355151.6,771520.68,583630.92
92,Sub-Saharan Africa,Namibia,Office Supplies,Online,H,234227073,1851.0,651.21,524.96,1205389.71,971700.96,233688.75
93,Europe,Portugal,Office Supplies,Online,M,734318292,9956.0,651.21,524.96,6483446.76,5226501.76,1256945.0
94,Central America and the Caribbean,Barbados,Snacks,Online,H,169133937,9345.0,152.58,97.44,1425860.1,910576.8,515283.3
95,Asia,Sri Lanka,Cereal,Online,C,743410336,494.0,205.7,117.11,101615.8,57852.34,43763.46
96,Europe,Poland,Household,Offline,L,232196319,905.0,668.27,502.54,604784.35,454798.7,149985.65
97,Sub-Saharan Africa,Senegal,Beverages,Offline,L,530853211,117.0,47.45,31.79,5551.65,3719.43,1832.22
98,Australia and Oceania,Kiribati,Fruits,Online,L,905054843,4695.0,9.33,6.92,43804.35,32489.4,11314.95
99,Middle East and North Africa,Somalia,Household,Offline,C,240787541,3239.0,668.27,502.54,2164526.53,1627727.06,536799.47
100,Sub-Saharan Africa,Burundi,Meat,Online,L,194350135,1379.0,421.89,364.69,581786.31,502907.51,78878.8
101,Asia,Malaysia,Household,Online,L,242353951,6775.0,668.27,502.54,4527529.25,3404708.5,1122820.75
102,Central America and the Caribbean,Haiti,Vegetables,Offline,C,831722819,4120.0,154.06,90.93,634727.2,374631.6,260095.6
103,Europe,Liechtenstein,Cosmetics,Online,L,229693067,138.0,437.2,263.33,60333.6,36339.54,23994.06
104,Sub-Saharan Africa,Zambia,Cereal,Offline,H,373813521,8583.0,205.7,117.11,1765523.1,1005155.13,760367.97
105,Europe,United Kingdom,Beverages,Online,C,121945512,5242.0,47.45,31.79,248732.9,166643.18,82089.72
106,Australia and Oceania,Vanuatu,Fruits,Offline,L,202262866,2932.0,9.33,6.92,27355.56,20289.44,7066.12
107,Australia and Oceania,Tuvalu,Personal Care,Offline,M,963251912,6501.0,81.73,56.67,531326.73,368411.67,162915.06
108,Central America and the Caribbean,Antigua and Barbuda,Household,Online,M,123711478,7830.0,668.27,502.54,5232554.1,3934888.2,1297665.9
109,Central America and the Caribbean,Haiti,Clothes,Offline,L,422752892,830.0,109.28,35.84,90702.4,29747.2,60955.2
110,Europe,Slovenia,Fruits,Online,H,169799983,6443.0,9.33,6.92,60113.19,44585.56,15527.63
111,Europe,Malta,Vegetables,Online,M,894589078,7643.0,154.06,90.93,1177480.58,694977.99,482502.59
112,Asia,Bhutan,Office Supplies,Offline,M,597169005,4434.0,651.21,524.96,2887465.14,2327672.64,559792.5
113,Sub-Saharan Africa,Eritrea,Office Supplies,Offline,H,497901093,8853.0,651.21,524.96,5765162.13,4647470.88,1117691.25
114,Europe,Ukraine,Personal Care,Online,M,987459170,9967.0,81.73,56.67,814602.91,564829.89,249773.02
115,Asia,Singapore,Personal Care,Offline,M,276829564,8875.0,81.73,56.67,725353.75,502946.25,222407.5
116,Sub-Saharan Africa,Cameroon,Household,Offline,H,247311103,3706.0,668.27,502.54,2476608.62,1862413.24,614195.38
117,Europe,Cyprus,Fruits,Offline,M,600515115,4622.0,9.33,6.92,43123.26,31984.24,11139.02
118,Europe,Poland,Office Supplies,Offline,M,208365428,8815.0,651.21,524.96,5740416.15,4627522.4,1112893.75
119,Europe,Monaco,Personal Care,Online,L,263098371,5509.0,81.73,56.67,450250.57,312195.03,138055.54
120,Australia and Oceania,Vanuatu,Office Supplies,Online,L,227262771,959.0,651.21,524.96,624510.39,503436.64,121073.75
121,Sub-Saharan Africa,Gabon,Office Supplies,Offline,H,983719956,3450.0,651.21,524.96,2246674.5,1811112.0,435562.5
122,Sub-Saharan Africa,Djibouti,Baby Food,Offline,H,785643756,8301.0,255.28,159.42,2119079.28,1323345.42,795733.86
123,Sub-Saharan Africa,Namibia,Office Supplies,Online,C,206520497,2859.0,651.21,524.96,1861809.39,1500860.64,360948.75
124,Europe,Estonia,Cosmetics,Online,C,790149009,1505.0,437.2,263.33,657986.0,396311.65,261674.35
125,Europe,Norway,Cereal,Online,M,100640618,650.0,205.7,117.11,133705.0,76121.5,57583.5
126,Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,272419154,3736.0,81.73,56.67,305343.28,211719.12,93624.16
127,Sub-Saharan Africa,Burundi,Meat,Offline,M,360220944,6237.0,421.89,364.69,2631327.93,2274571.53,356756.4
128,Asia,Thailand,Beverages,Offline,C,389094817,658.0,47.45,31.79,31222.1,20917.82,10304.28
129,Sub-Saharan Africa,Mauritius,Meat,Offline,L,904402101,1534.0,421.89,364.69,647179.26,559434.46,87744.8
130,Sub-Saharan Africa,Uganda,Vegetables,Online,H,721816623,434.0,154.06,90.93,66862.04,39463.62,27398.42
131,Europe,Luxembourg,Snacks,Online,H,977324712,955.0,152.58,97.44,145713.9,93055.2,52658.7
132,Sub-Saharan Africa,The Gambia,Beverages,Online,C,177225196,3729.0,47.45,31.79,176941.05,118544.91,58396.14
